#           k/h    P           
    0.58104E-05    0.27821E+02
    0.64215E-05    0.30632E+02
    0.70968E-05    0.33726E+02
    0.78432E-05    0.37134E+02
    0.86681E-05    0.40885E+02
    0.95797E-05    0.45015E+02
    0.10587E-04    0.49563E+02
    0.11701E-04    0.54570E+02
    0.12931E-04    0.60082E+02
    0.14291E-04    0.66152E+02
    0.15794E-04    0.72835E+02
    0.17455E-04    0.80193E+02
    0.19291E-04    0.88294E+02
    0.21320E-04    0.97214E+02
    0.23562E-04    0.10703E+03
    0.26040E-04    0.11785E+03
    0.28779E-04    0.12975E+03
    0.31806E-04    0.14286E+03
    0.35151E-04    0.15729E+03
    0.38848E-04    0.17318E+03
    0.42933E-04    0.19067E+03
    0.47449E-04    0.20993E+03
    0.52439E-04    0.23114E+03
    0.57954E-04    0.25449E+03
    0.64049E-04    0.28019E+03
    0.70785E-04    0.30849E+03
    0.78230E-04    0.33965E+03
    0.86457E-04    0.37395E+03
    0.95550E-04    0.41171E+03
    0.10560E-03    0.45329E+03
    0.11671E-03    0.49905E+03
    0.12898E-03    0.54943E+03
    0.14254E-03    0.60489E+03
    0.15754E-03    0.66594E+03
    0.17410E-03    0.73313E+03
    0.19241E-03    0.80708E+03
    0.21265E-03    0.88846E+03
    0.23502E-03    0.97801E+03
    0.25973E-03    0.10765E+04
    0.28705E-03    0.11849E+04
    0.31724E-03    0.13042E+04
    0.35060E-03    0.14353E+04
    0.38747E-03    0.15794E+04
    0.42823E-03    0.17378E+04
    0.47326E-03    0.19118E+04
    0.52304E-03    0.21030E+04
    0.57804E-03    0.23127E+04
    0.63884E-03    0.25429E+04
    0.70603E-03    0.27952E+04
    0.78028E-03    0.30715E+04
    0.86234E-03    0.33740E+04
    0.95303E-03    0.37047E+04
    0.10533E-02    0.40658E+04
    0.11640E-02    0.44596E+04
    0.12865E-02    0.48883E+04
    0.14218E-02    0.53541E+04
    0.15713E-02    0.58593E+04
    0.17365E-02    0.64057E+04
    0.19192E-02    0.69955E+04
    0.21210E-02    0.76298E+04
    0.23441E-02    0.83098E+04
    0.25906E-02    0.90363E+04
    0.28631E-02    0.98094E+04
    0.31642E-02    0.10628E+05
    0.34970E-02    0.11492E+05
    0.38647E-02    0.12397E+05
    0.42712E-02    0.13341E+05
    0.47204E-02    0.14318E+05
    0.52169E-02    0.15321E+05
    0.57655E-02    0.16343E+05
    0.63719E-02    0.17371E+05
    0.70420E-02    0.18395E+05
    0.77826E-02    0.19397E+05
    0.86011E-02    0.20360E+05
    0.95057E-02    0.21263E+05
    0.10505E-01    0.22083E+05
    0.11610E-01    0.22794E+05
    0.12831E-01    0.23366E+05
    0.14181E-01    0.23768E+05
    0.15672E-01    0.23971E+05
    0.17321E-01    0.23943E+05
    0.19142E-01    0.23658E+05
    0.21155E-01    0.23100E+05
    0.23380E-01    0.22264E+05
    0.25839E-01    0.21162E+05
    0.28557E-01    0.19832E+05
    0.31560E-01    0.18336E+05
    0.34879E-01    0.16758E+05
    0.38548E-01    0.15202E+05
    0.42602E-01    0.13767E+05
    0.47082E-01    0.12533E+05
    0.52034E-01    0.11535E+05
    0.57506E-01    0.10737E+05
    0.63554E-01    0.10026E+05
    0.70238E-01    0.92351E+04
    0.77625E-01    0.82274E+04
    0.85789E-01    0.70168E+04
    0.94812E-01    0.58157E+04
    0.10478E+00    0.48970E+04
    0.11580E+00    0.43521E+04
    0.12798E+00    0.39673E+04
    0.14144E+00    0.34220E+04
    0.15632E+00    0.27446E+04
    0.17276E+00    0.22728E+04
    0.19093E+00    0.20197E+04
    0.21101E+00    0.16842E+04
    0.23320E+00    0.13499E+04
    0.25773E+00    0.11610E+04
    0.28483E+00    0.94421E+03
    0.31479E+00    0.77902E+03
    0.34789E+00    0.63929E+03
    0.38448E+00    0.52260E+03
    0.42492E+00    0.42415E+03
    0.46961E+00    0.34529E+03
    0.51900E+00    0.27903E+03
    0.57358E+00    0.22495E+03
    0.63390E+00    0.18094E+03
    0.70057E+00    0.14514E+03
    0.77425E+00    0.11612E+03
    0.85568E+00    0.92677E+02
    0.94567E+00    0.73790E+02
    0.10451E+01    0.58623E+02
    0.11550E+01    0.46473E+02
    0.12765E+01    0.36768E+02
    0.14108E+01    0.29033E+02
    0.15591E+01    0.22883E+02
    0.17231E+01    0.18003E+02
    0.19043E+01    0.14140E+02
    0.21046E+01    0.11089E+02
    0.23260E+01    0.86819E+01
    0.25706E+01    0.67875E+01
    0.28410E+01    0.52989E+01
    0.31397E+01    0.41312E+01
    0.34700E+01    0.32166E+01
    0.38349E+01    0.25013E+01
    0.42382E+01    0.19428E+01
    0.46839E+01    0.15072E+01
    0.51766E+01    0.11680E+01
    0.57210E+01    0.90414E+00
    0.63227E+01    0.69919E+00
    0.69876E+01    0.54016E+00
    0.77225E+01    0.41690E+00
    0.85347E+01    0.32148E+00
    0.94323E+01    0.24767E+00
    0.10424E+02    0.19065E+00
    0.11521E+02    0.14663E+00
    0.12732E+02    0.11269E+00
    0.14071E+02    0.86536E-01
    0.15551E+02    0.66402E-01
    0.17187E+02    0.50916E-01
    0.18994E+02    0.39014E-01
    0.20992E+02    0.29874E-01
    0.23200E+02    0.22859E-01
    0.25640E+02    0.17481E-01
    0.28336E+02    0.13359E-01
    0.31316E+02    0.10202E-01
    0.34610E+02    0.77870E-02
    0.38250E+02    0.59397E-02
    0.42273E+02    0.45279E-02
    0.46718E+02    0.34495E-02
    0.51632E+02    0.26263E-02
