#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.581041E-05   0.198347E+08   0.198347E+08   0.264420E+08   0.264420E+08   0.198360E+08   0.198347E+08   0.198347E+08   0.198393E+08  -0.473645E+00   0.105023E+08   0.105023E+08   0.328834E-02
   0.642149E-05   0.198347E+08   0.198347E+08   0.264410E+08   0.264410E+08   0.198360E+08   0.198347E+08   0.198347E+08   0.198393E+08  -0.473645E+00   0.105023E+08   0.105023E+08   0.363418E-02
   0.709685E-05   0.198347E+08   0.198347E+08   0.264398E+08   0.264398E+08   0.198360E+08   0.198347E+08   0.198347E+08   0.198393E+08  -0.473645E+00   0.105023E+08   0.105023E+08   0.401638E-02
   0.784323E-05   0.198347E+08   0.198347E+08   0.264384E+08   0.264384E+08   0.198359E+08   0.198347E+08   0.198347E+08   0.198393E+08  -0.473645E+00   0.105023E+08   0.105023E+08   0.443877E-02
   0.866811E-05   0.198347E+08   0.198347E+08   0.264367E+08   0.264367E+08   0.198359E+08   0.198347E+08   0.198347E+08   0.198393E+08  -0.473645E+00   0.105023E+08   0.105023E+08   0.490559E-02
   0.957974E-05   0.198347E+08   0.198347E+08   0.264345E+08   0.264345E+08   0.198359E+08   0.198347E+08   0.198347E+08   0.198393E+08  -0.473645E+00   0.105023E+08   0.105023E+08   0.542149E-02
   0.105873E-04   0.198347E+08   0.198347E+08   0.264319E+08   0.264319E+08   0.198359E+08   0.198347E+08   0.198347E+08   0.198393E+08  -0.473645E+00   0.105023E+08   0.105023E+08   0.599165E-02
   0.117007E-04   0.198347E+08   0.198347E+08   0.264288E+08   0.264287E+08   0.198359E+08   0.198347E+08   0.198347E+08   0.198393E+08  -0.473644E+00   0.105023E+08   0.105023E+08   0.662175E-02
   0.129313E-04   0.198347E+08   0.198347E+08   0.264249E+08   0.264248E+08   0.198359E+08   0.198347E+08   0.198347E+08   0.198393E+08  -0.473644E+00   0.105023E+08   0.105023E+08   0.731812E-02
   0.142913E-04   0.198347E+08   0.198347E+08   0.264201E+08   0.264201E+08   0.198358E+08   0.198347E+08   0.198347E+08   0.198393E+08  -0.473644E+00   0.105023E+08   0.105023E+08   0.808770E-02
   0.157943E-04   0.198347E+08   0.198347E+08   0.264143E+08   0.264143E+08   0.198358E+08   0.198347E+08   0.198347E+08   0.198392E+08  -0.473644E+00   0.105023E+08   0.105023E+08   0.893820E-02
   0.174554E-04   0.198347E+08   0.198347E+08   0.264073E+08   0.264072E+08   0.198358E+08   0.198347E+08   0.198347E+08   0.198392E+08  -0.473644E+00   0.105023E+08   0.105023E+08   0.987811E-02
   0.192912E-04   0.198346E+08   0.198346E+08   0.263986E+08   0.263986E+08   0.198357E+08   0.198347E+08   0.198346E+08   0.198392E+08  -0.473643E+00   0.105023E+08   0.105023E+08   0.109168E-01
   0.213201E-04   0.198346E+08   0.198346E+08   0.263881E+08   0.263880E+08   0.198357E+08   0.198346E+08   0.198346E+08   0.198392E+08  -0.473643E+00   0.105023E+08   0.105023E+08   0.120647E-01
   0.235624E-04   0.198346E+08   0.198346E+08   0.263752E+08   0.263751E+08   0.198356E+08   0.198346E+08   0.198346E+08   0.198392E+08  -0.473642E+00   0.105023E+08   0.105023E+08   0.133333E-01
   0.260404E-04   0.198346E+08   0.198346E+08   0.263595E+08   0.263594E+08   0.198355E+08   0.198346E+08   0.198346E+08   0.198391E+08  -0.473641E+00   0.105022E+08   0.105022E+08   0.147351E-01
   0.287791E-04   0.198345E+08   0.198345E+08   0.263404E+08   0.263402E+08   0.198354E+08   0.198346E+08   0.198345E+08   0.198391E+08  -0.473640E+00   0.105022E+08   0.105022E+08   0.162843E-01
   0.318059E-04   0.198345E+08   0.198345E+08   0.263170E+08   0.263168E+08   0.198353E+08   0.198345E+08   0.198345E+08   0.198391E+08  -0.473639E+00   0.105022E+08   0.105022E+08   0.179961E-01
   0.351509E-04   0.198345E+08   0.198345E+08   0.262884E+08   0.262882E+08   0.198351E+08   0.198345E+08   0.198345E+08   0.198390E+08  -0.473638E+00   0.105022E+08   0.105022E+08   0.198878E-01
   0.388478E-04   0.198344E+08   0.198344E+08   0.262536E+08   0.262533E+08   0.198350E+08   0.198344E+08   0.198344E+08   0.198390E+08  -0.473636E+00   0.105022E+08   0.105022E+08   0.219780E-01
   0.429334E-04   0.198343E+08   0.198343E+08   0.262111E+08   0.262107E+08   0.198347E+08   0.198343E+08   0.198343E+08   0.198389E+08  -0.473634E+00   0.105021E+08   0.105021E+08   0.242876E-01
   0.474488E-04   0.198343E+08   0.198343E+08   0.261592E+08   0.261588E+08   0.198344E+08   0.198343E+08   0.198343E+08   0.198388E+08  -0.473632E+00   0.105021E+08   0.105021E+08   0.268394E-01
   0.524390E-04   0.198342E+08   0.198342E+08   0.260961E+08   0.260955E+08   0.198341E+08   0.198342E+08   0.198342E+08   0.198387E+08  -0.473629E+00   0.105020E+08   0.105020E+08   0.296587E-01
   0.579541E-04   0.198340E+08   0.198340E+08   0.260191E+08   0.260185E+08   0.198337E+08   0.198340E+08   0.198340E+08   0.198385E+08  -0.473625E+00   0.105019E+08   0.105019E+08   0.327733E-01
   0.640491E-04   0.198339E+08   0.198339E+08   0.259254E+08   0.259246E+08   0.198332E+08   0.198339E+08   0.198339E+08   0.198384E+08  -0.473621E+00   0.105019E+08   0.105019E+08   0.362139E-01
   0.707853E-04   0.198337E+08   0.198337E+08   0.258113E+08   0.258104E+08   0.198326E+08   0.198337E+08   0.198337E+08   0.198381E+08  -0.473615E+00   0.105018E+08   0.105018E+08   0.400142E-01
   0.782298E-04   0.198335E+08   0.198335E+08   0.256726E+08   0.256715E+08   0.198318E+08   0.198334E+08   0.198335E+08   0.198379E+08  -0.473609E+00   0.105016E+08   0.105016E+08   0.442112E-01
   0.864573E-04   0.198332E+08   0.198332E+08   0.255042E+08   0.255028E+08   0.198309E+08   0.198332E+08   0.198332E+08   0.198376E+08  -0.473601E+00   0.105015E+08   0.105015E+08   0.488457E-01
   0.955501E-04   0.198329E+08   0.198328E+08   0.252998E+08   0.252981E+08   0.198298E+08   0.198328E+08   0.198329E+08   0.198372E+08  -0.473591E+00   0.105013E+08   0.105013E+08   0.539623E-01
   0.105599E-03   0.198324E+08   0.198324E+08   0.250521E+08   0.250501E+08   0.198284E+08   0.198324E+08   0.198324E+08   0.198367E+08  -0.473579E+00   0.105011E+08   0.105011E+08   0.596100E-01
   0.116705E-03   0.198319E+08   0.198319E+08   0.247527E+08   0.247503E+08   0.198267E+08   0.198319E+08   0.198319E+08   0.198362E+08  -0.473564E+00   0.105008E+08   0.105008E+08   0.658422E-01
   0.128979E-03   0.198313E+08   0.198313E+08   0.243914E+08   0.243885E+08   0.198246E+08   0.198312E+08   0.198313E+08   0.198355E+08  -0.473547E+00   0.105005E+08   0.105005E+08   0.727170E-01
   0.142544E-03   0.198306E+08   0.198306E+08   0.239567E+08   0.239532E+08   0.198221E+08   0.198305E+08   0.198306E+08   0.198346E+08  -0.473525E+00   0.105001E+08   0.105001E+08   0.802977E-01
   0.157535E-03   0.198297E+08   0.198297E+08   0.234353E+08   0.234312E+08   0.198191E+08   0.198295E+08   0.198297E+08   0.198336E+08  -0.473499E+00   0.104996E+08   0.104996E+08   0.886529E-01
   0.174104E-03   0.198285E+08   0.198285E+08   0.228127E+08   0.228078E+08   0.198154E+08   0.198284E+08   0.198285E+08   0.198323E+08  -0.473467E+00   0.104990E+08   0.104990E+08   0.978563E-01
   0.192414E-03   0.198272E+08   0.198272E+08   0.220728E+08   0.220671E+08   0.198108E+08   0.198270E+08   0.198272E+08   0.198308E+08  -0.473428E+00   0.104982E+08   0.104982E+08   0.107987E+00
   0.212651E-03   0.198255E+08   0.198255E+08   0.211990E+08   0.211925E+08   0.198053E+08   0.198253E+08   0.198255E+08   0.198290E+08  -0.473380E+00   0.104973E+08   0.104973E+08   0.119130E+00
   0.235015E-03   0.198235E+08   0.198235E+08   0.201750E+08   0.201675E+08   0.197985E+08   0.198233E+08   0.198235E+08   0.198267E+08  -0.473323E+00   0.104962E+08   0.104962E+08   0.131373E+00
   0.259732E-03   0.198211E+08   0.198211E+08   0.189862E+08   0.189779E+08   0.197903E+08   0.198207E+08   0.198211E+08   0.198240E+08  -0.473254E+00   0.104949E+08   0.104949E+08   0.144811E+00
   0.287048E-03   0.198181E+08   0.198181E+08   0.176224E+08   0.176132E+08   0.197803E+08   0.198177E+08   0.198181E+08   0.198207E+08  -0.473170E+00   0.104933E+08   0.104933E+08   0.159541E+00
   0.317237E-03   0.198145E+08   0.198145E+08   0.160801E+08   0.160703E+08   0.197681E+08   0.198140E+08   0.198145E+08   0.198168E+08  -0.473069E+00   0.104913E+08   0.104913E+08   0.175661E+00
   0.350602E-03   0.198102E+08   0.198102E+08   0.143677E+08   0.143576E+08   0.197533E+08   0.198095E+08   0.198102E+08   0.198120E+08  -0.472948E+00   0.104889E+08   0.104889E+08   0.193274E+00
   0.387475E-03   0.198049E+08   0.198049E+08   0.125091E+08   0.124992E+08   0.197353E+08   0.198041E+08   0.198049E+08   0.198063E+08  -0.472803E+00   0.104860E+08   0.104860E+08   0.212481E+00
   0.428226E-03   0.197985E+08   0.197985E+08   0.105492E+08   0.105401E+08   0.197135E+08   0.197976E+08   0.197985E+08   0.197994E+08  -0.472629E+00   0.104826E+08   0.104826E+08   0.233382E+00
   0.473263E-03   0.197909E+08   0.197908E+08   0.855709E+07   0.854968E+07   0.196872E+08   0.197897E+08   0.197909E+08   0.197912E+08  -0.472422E+00   0.104784E+08   0.104784E+08   0.256079E+00
   0.523036E-03   0.197816E+08   0.197816E+08   0.662609E+07   0.662111E+07   0.196553E+08   0.197802E+08   0.197816E+08   0.197814E+08  -0.472176E+00   0.104733E+08   0.104733E+08   0.280674E+00
   0.578045E-03   0.197706E+08   0.197705E+08   0.486728E+07   0.486531E+07   0.196168E+08   0.197688E+08   0.197706E+08   0.197697E+08  -0.471885E+00   0.104673E+08   0.104673E+08   0.307271E+00
   0.638838E-03   0.197574E+08   0.197573E+08   0.339356E+07   0.339472E+07   0.195705E+08   0.197552E+08   0.197574E+08   0.197558E+08  -0.471542E+00   0.104600E+08   0.104600E+08   0.335985E+00
   0.706025E-03   0.197416E+08   0.197415E+08   0.229286E+07   0.229648E+07   0.195148E+08   0.197390E+08   0.197416E+08   0.197394E+08  -0.471138E+00   0.104514E+08   0.104514E+08   0.366950E+00
   0.780278E-03   0.197229E+08   0.197228E+08   0.159457E+07   0.159911E+07   0.194483E+08   0.197198E+08   0.197229E+08   0.197201E+08  -0.470665E+00   0.104412E+08   0.104412E+08   0.400326E+00
   0.862341E-03   0.197007E+08   0.197006E+08   0.124203E+07   0.124541E+07   0.193691E+08   0.196970E+08   0.197007E+08   0.196972E+08  -0.470110E+00   0.104291E+08   0.104291E+08   0.436293E+00
   0.953034E-03   0.196745E+08   0.196744E+08   0.109324E+07   0.109378E+07   0.192751E+08   0.196700E+08   0.196745E+08   0.196702E+08  -0.469459E+00   0.104148E+08   0.104148E+08   0.475077E+00
   0.105327E-02   0.196437E+08   0.196435E+08   0.971183E+06   0.968872E+06   0.191641E+08   0.196383E+08   0.196437E+08   0.196384E+08  -0.468696E+00   0.103980E+08   0.103980E+08   0.516917E+00
   0.116404E-02   0.196075E+08   0.196073E+08   0.758936E+06   0.755988E+06   0.190337E+08   0.196010E+08   0.196074E+08   0.196011E+08  -0.467803E+00   0.103783E+08   0.103783E+08   0.562074E+00
   0.128646E-02   0.195651E+08   0.195649E+08   0.480601E+06   0.479949E+06   0.188817E+08   0.195574E+08   0.195651E+08   0.195575E+08  -0.466758E+00   0.103553E+08   0.103553E+08   0.610798E+00
   0.142176E-02   0.195156E+08   0.195154E+08   0.270961E+06   0.273023E+06   0.187056E+08   0.195064E+08   0.195156E+08   0.195065E+08  -0.465539E+00   0.103285E+08   0.103285E+08   0.663353E+00
   0.157129E-02   0.194580E+08   0.194577E+08   0.210729E+06   0.212234E+06   0.185034E+08   0.194472E+08   0.194579E+08   0.194472E+08  -0.464122E+00   0.102972E+08   0.102972E+08   0.720008E+00
   0.173654E-02   0.193912E+08   0.193908E+08   0.204889E+06   0.203490E+06   0.182735E+08   0.193786E+08   0.193911E+08   0.193786E+08  -0.462482E+00   0.102611E+08   0.102611E+08   0.781078E+00
   0.191918E-02   0.193142E+08   0.193138E+08   0.130644E+06   0.129540E+06   0.180214E+08   0.192996E+08   0.193142E+08   0.192996E+08  -0.460596E+00   0.102195E+08   0.102195E+08   0.846893E+00
   0.212102E-02   0.192255E+08   0.192250E+08   0.568550E+05   0.583284E+05   0.177352E+08   0.192087E+08   0.192254E+08   0.192087E+08  -0.458424E+00   0.101716E+08   0.101715E+08   0.917792E+00
   0.234409E-02   0.191239E+08   0.191233E+08   0.625031E+05   0.619822E+05   0.174182E+08   0.191046E+08   0.191238E+08   0.191046E+08  -0.455940E+00   0.101167E+08   0.101167E+08   0.994134E+00
   0.259062E-02   0.190082E+08   0.190074E+08   0.395779E+05   0.375272E+05   0.170736E+08   0.189863E+08   0.190081E+08   0.189863E+08  -0.453115E+00   0.100544E+08   0.100544E+08   0.107631E+01
