#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.581041E-05   0.118686E+07   0.118686E+07   0.158246E+07   0.158246E+07   0.121020E+07   0.118713E+07   0.118686E+07   0.119287E+07  -0.601126E+00   0.118481E+07   0.118481E+07   0.538858E-01
   0.642149E-05   0.118686E+07   0.118686E+07   0.158246E+07   0.158246E+07   0.121020E+07   0.118713E+07   0.118686E+07   0.119287E+07  -0.601126E+00   0.118481E+07   0.118481E+07   0.595531E-01
   0.709685E-05   0.118686E+07   0.118686E+07   0.158246E+07   0.158246E+07   0.121020E+07   0.118713E+07   0.118686E+07   0.119287E+07  -0.601126E+00   0.118481E+07   0.118481E+07   0.658163E-01
   0.784323E-05   0.118686E+07   0.118686E+07   0.158245E+07   0.158245E+07   0.121020E+07   0.118713E+07   0.118686E+07   0.119287E+07  -0.601126E+00   0.118481E+07   0.118481E+07   0.727382E-01
   0.866811E-05   0.118686E+07   0.118686E+07   0.158245E+07   0.158245E+07   0.121020E+07   0.118713E+07   0.118686E+07   0.119287E+07  -0.601126E+00   0.118481E+07   0.118481E+07   0.803882E-01
   0.957974E-05   0.118686E+07   0.118686E+07   0.158244E+07   0.158244E+07   0.121019E+07   0.118713E+07   0.118686E+07   0.119287E+07  -0.601125E+00   0.118481E+07   0.118481E+07   0.888427E-01
   0.105873E-04   0.118686E+07   0.118686E+07   0.158243E+07   0.158243E+07   0.121019E+07   0.118713E+07   0.118686E+07   0.119287E+07  -0.601125E+00   0.118481E+07   0.118481E+07   0.981863E-01
   0.117007E-04   0.118686E+07   0.118686E+07   0.158242E+07   0.158242E+07   0.121019E+07   0.118713E+07   0.118686E+07   0.119287E+07  -0.601125E+00   0.118481E+07   0.118481E+07   0.108513E+00
   0.129313E-04   0.118686E+07   0.118686E+07   0.158241E+07   0.158241E+07   0.121019E+07   0.118713E+07   0.118686E+07   0.119287E+07  -0.601125E+00   0.118481E+07   0.118481E+07   0.119925E+00
   0.142913E-04   0.118686E+07   0.118686E+07   0.158240E+07   0.158240E+07   0.121018E+07   0.118713E+07   0.118686E+07   0.119287E+07  -0.601125E+00   0.118481E+07   0.118481E+07   0.132537E+00
   0.157943E-04   0.118686E+07   0.118686E+07   0.158238E+07   0.158238E+07   0.121018E+07   0.118713E+07   0.118686E+07   0.119287E+07  -0.601125E+00   0.118481E+07   0.118481E+07   0.146476E+00
   0.174554E-04   0.118686E+07   0.118686E+07   0.158236E+07   0.158236E+07   0.121017E+07   0.118713E+07   0.118686E+07   0.119287E+07  -0.601124E+00   0.118481E+07   0.118481E+07   0.161881E+00
   0.192912E-04   0.118686E+07   0.118686E+07   0.158233E+07   0.158233E+07   0.121017E+07   0.118713E+07   0.118686E+07   0.119287E+07  -0.601124E+00   0.118481E+07   0.118481E+07   0.178906E+00
   0.213201E-04   0.118686E+07   0.118686E+07   0.158230E+07   0.158230E+07   0.121016E+07   0.118713E+07   0.118686E+07   0.119287E+07  -0.601124E+00   0.118481E+07   0.118481E+07   0.197722E+00
   0.235624E-04   0.118685E+07   0.118685E+07   0.158226E+07   0.158226E+07   0.121015E+07   0.118712E+07   0.118685E+07   0.119287E+07  -0.601123E+00   0.118481E+07   0.118481E+07   0.218516E+00
   0.260404E-04   0.118685E+07   0.118685E+07   0.158221E+07   0.158221E+07   0.121014E+07   0.118712E+07   0.118685E+07   0.119287E+07  -0.601123E+00   0.118481E+07   0.118481E+07   0.241497E+00
   0.287791E-04   0.118685E+07   0.118685E+07   0.158216E+07   0.158215E+07   0.121013E+07   0.118712E+07   0.118685E+07   0.119287E+07  -0.601122E+00   0.118480E+07   0.118480E+07   0.266895E+00
   0.318059E-04   0.118685E+07   0.118685E+07   0.158209E+07   0.158208E+07   0.121011E+07   0.118712E+07   0.118685E+07   0.119286E+07  -0.601121E+00   0.118480E+07   0.118480E+07   0.294963E+00
   0.351509E-04   0.118685E+07   0.118685E+07   0.158200E+07   0.158199E+07   0.121009E+07   0.118712E+07   0.118685E+07   0.119286E+07  -0.601120E+00   0.118480E+07   0.118480E+07   0.325984E+00
   0.388478E-04   0.118685E+07   0.118685E+07   0.158189E+07   0.158188E+07   0.121006E+07   0.118712E+07   0.118685E+07   0.119286E+07  -0.601119E+00   0.118480E+07   0.118480E+07   0.360266E+00
   0.429334E-04   0.118685E+07   0.118685E+07   0.158176E+07   0.158175E+07   0.121003E+07   0.118712E+07   0.118685E+07   0.119286E+07  -0.601118E+00   0.118480E+07   0.118480E+07   0.398153E+00
   0.474488E-04   0.118684E+07   0.118684E+07   0.158160E+07   0.158158E+07   0.121000E+07   0.118711E+07   0.118684E+07   0.119285E+07  -0.601116E+00   0.118480E+07   0.118480E+07   0.440024E+00
   0.524390E-04   0.118684E+07   0.118684E+07   0.158141E+07   0.158139E+07   0.120995E+07   0.118711E+07   0.118684E+07   0.119285E+07  -0.601114E+00   0.118479E+07   0.118479E+07   0.486298E+00
   0.579541E-04   0.118684E+07   0.118684E+07   0.158118E+07   0.158114E+07   0.120990E+07   0.118710E+07   0.118684E+07   0.119284E+07  -0.601111E+00   0.118479E+07   0.118479E+07   0.537437E+00
   0.640491E-04   0.118683E+07   0.118683E+07   0.158089E+07   0.158085E+07   0.120983E+07   0.118710E+07   0.118683E+07   0.119284E+07  -0.601107E+00   0.118478E+07   0.118478E+07   0.593952E+00
   0.707853E-04   0.118683E+07   0.118683E+07   0.158054E+07   0.158049E+07   0.120974E+07   0.118709E+07   0.118683E+07   0.119283E+07  -0.601103E+00   0.118478E+07   0.118478E+07   0.656409E+00
