#           k/h    P           
    0.58104E-05    0.16446E-01
    0.64215E-05    0.18108E-01
    0.70968E-05    0.19937E-01
    0.78432E-05    0.21951E-01
    0.86681E-05    0.24169E-01
    0.95797E-05    0.26611E-01
    0.10587E-04    0.29299E-01
    0.11701E-04    0.32259E-01
    0.12931E-04    0.35518E-01
    0.14291E-04    0.39106E-01
    0.15794E-04    0.43056E-01
    0.17455E-04    0.47406E-01
    0.19291E-04    0.52195E-01
    0.21320E-04    0.57468E-01
    0.23562E-04    0.63273E-01
    0.26040E-04    0.69665E-01
    0.28779E-04    0.76703E-01
    0.31806E-04    0.84452E-01
    0.35151E-04    0.92983E-01
    0.38848E-04    0.10238E+00
    0.42933E-04    0.11272E+00
    0.47449E-04    0.12411E+00
    0.52439E-04    0.13664E+00
    0.57954E-04    0.15045E+00
    0.64049E-04    0.16564E+00
    0.70785E-04    0.18237E+00
    0.78230E-04    0.20080E+00
    0.86457E-04    0.22108E+00
    0.95550E-04    0.24341E+00
    0.10560E-03    0.26800E+00
    0.11671E-03    0.29506E+00
    0.12898E-03    0.32486E+00
    0.14254E-03    0.35767E+00
    0.15754E-03    0.39379E+00
    0.17410E-03    0.43355E+00
    0.19241E-03    0.47732E+00
    0.21265E-03    0.52551E+00
    0.23502E-03    0.57855E+00
    0.25973E-03    0.63693E+00
    0.28705E-03    0.70118E+00
    0.31724E-03    0.77190E+00
    0.35060E-03    0.84971E+00
    0.38747E-03    0.93534E+00
    0.42823E-03    0.10295E+01
    0.47326E-03    0.11332E+01
    0.52304E-03    0.12471E+01
    0.57804E-03    0.13724E+01
    0.63884E-03    0.15101E+01
    0.70603E-03    0.16614E+01
    0.78028E-03    0.18275E+01
    0.86234E-03    0.20099E+01
    0.95303E-03    0.22099E+01
    0.10533E-02    0.24290E+01
    0.11640E-02    0.26690E+01
    0.12865E-02    0.29314E+01
    0.14218E-02    0.32179E+01
    0.15713E-02    0.35302E+01
    0.17365E-02    0.38699E+01
    0.19192E-02    0.42385E+01
    0.21210E-02    0.46373E+01
    0.23441E-02    0.50673E+01
    0.25906E-02    0.55292E+01
    0.28631E-02    0.60231E+01
    0.31642E-02    0.65487E+01
    0.34970E-02    0.71047E+01
    0.38647E-02    0.76893E+01
    0.42712E-02    0.83002E+01
    0.47204E-02    0.89339E+01
    0.52169E-02    0.95864E+01
    0.57655E-02    0.10253E+02
    0.63719E-02    0.10927E+02
    0.70420E-02    0.11600E+02
    0.77826E-02    0.12264E+02
    0.86011E-02    0.12904E+02
    0.95057E-02    0.13507E+02
    0.10505E-01    0.14057E+02
    0.11610E-01    0.14538E+02
    0.12831E-01    0.14932E+02
    0.14181E-01    0.15218E+02
    0.15672E-01    0.15375E+02
    0.17321E-01    0.15383E+02
    0.19142E-01    0.15225E+02
    0.21155E-01    0.14889E+02
    0.23380E-01    0.14371E+02
    0.25839E-01    0.13678E+02
    0.28557E-01    0.12835E+02
    0.31560E-01    0.11881E+02
    0.34879E-01    0.10871E+02
    0.38548E-01    0.98716E+01
    0.42602E-01    0.89482E+01
    0.47082E-01    0.81534E+01
    0.52034E-01    0.75096E+01
    0.57506E-01    0.69948E+01
    0.63554E-01    0.65358E+01
    0.70238E-01    0.60237E+01
    0.77625E-01    0.53692E+01
    0.85789E-01    0.45814E+01
    0.94812E-01    0.37989E+01
    0.10478E+00    0.32000E+01
    0.11580E+00    0.28447E+01
    0.12798E+00    0.25938E+01
    0.14144E+00    0.22378E+01
    0.15632E+00    0.17953E+01
    0.17276E+00    0.14870E+01
    0.19093E+00    0.13215E+01
    0.21101E+00    0.11021E+01
    0.23320E+00    0.88354E+00
    0.25773E+00    0.75991E+00
    0.28483E+00    0.61809E+00
    0.31479E+00    0.50999E+00
    0.34789E+00    0.41854E+00
    0.38448E+00    0.34216E+00
    0.42492E+00    0.27772E+00
    0.46961E+00    0.22609E+00
    0.51900E+00    0.18271E+00
    0.57358E+00    0.14730E+00
    0.63390E+00    0.11848E+00
    0.70057E+00    0.95044E-01
    0.77425E+00    0.76045E-01
    0.85568E+00    0.60691E-01
    0.94567E+00    0.48323E-01
    0.10451E+01    0.38391E-01
    0.11550E+01    0.30435E-01
    0.12765E+01    0.24079E-01
    0.14108E+01    0.19013E-01
    0.15591E+01    0.14986E-01
    0.17231E+01    0.11790E-01
    0.19043E+01    0.92606E-02
    0.21046E+01    0.72619E-02
    0.23260E+01    0.56858E-02
    0.25706E+01    0.44451E-02
    0.28410E+01    0.34703E-02
    0.31397E+01    0.27055E-02
    0.34700E+01    0.21065E-02
    0.38349E+01    0.16381E-02
    0.42382E+01    0.12723E-02
    0.46839E+01    0.98708E-03
    0.51766E+01    0.76493E-03
    0.57210E+01    0.59214E-03
    0.63227E+01    0.45791E-03
    0.69876E+01    0.35376E-03
    0.77225E+01    0.27304E-03
    0.85347E+01    0.21055E-03
    0.94323E+01    0.16221E-03
    0.10424E+02    0.12487E-03
    0.11521E+02    0.96039E-04
    0.12732E+02    0.73808E-04
    0.14071E+02    0.56680E-04
    0.15551E+02    0.43494E-04
    0.17187E+02    0.33351E-04
    0.18994E+02    0.25556E-04
    0.20992E+02    0.19570E-04
    0.23200E+02    0.14976E-04
    0.25640E+02    0.11453E-04
    0.28336E+02    0.87529E-05
    0.31316E+02    0.66855E-05
    0.34610E+02    0.51034E-05
    0.38250E+02    0.38933E-05
    0.42273E+02    0.29685E-05
    0.46718E+02    0.22620E-05
    0.51632E+02    0.17227E-05
